”¼Œar[mm],—ƒŒ·’·chord[mm],Žæ•tŠptheta[deg]
0.15,0.127488539,74.42832371
0.151,0.12833702,74.31376099
0.152,0.129185502,74.19919827
0.153,0.130033983,74.08463554
0.154,0.130882465,73.97007282
0.155,0.131670599,73.87992741
0.156,0.132436412,73.79881306
0.157,0.133202225,73.71769872
0.158,0.133968038,73.63658437
0.159,0.134733851,73.55547002
0.16,0.135499664,73.47435567
0.161,0.136265477,73.39324132
0.162,0.13703129,73.31212697
0.163,0.137797103,73.23101262
0.164,0.138562916,73.14989827
0.165,0.139328729,73.06878392
0.166,0.140094542,72.98766957
0.167,0.140860355,72.90655522
0.168,0.141626168,72.82544087
0.169,0.142391981,72.74432652
0.17,0.143157794,72.66321218
0.171,0.143923607,72.58209783
0.172,0.14468942,72.50098348
0.173,0.145455233,72.41986913
0.174,0.146221046,72.33875478
0.175,0.146986859,72.25764043
0.176,0.147752672,72.17652608
0.177,0.148518485,72.09541173
0.178,0.149284298,72.01429738
0.179,0.150050111,71.93318303
0.18,0.150815924,71.85206868
0.181,0.151581737,71.77095433
0.182,0.152202635,71.68279039
0.183,0.152684301,71.5878533
0.184,0.153165967,71.49291621
0.185,0.153647633,71.39797912
0.186,0.154129299,71.30304204
0.187,0.154610965,71.20810495
0.188,0.155092631,71.11316786
0.189,0.155574297,71.01823077
0.19,0.156055963,70.92329368
0.191,0.156537629,70.8283566
0.192,0.157019295,70.73341951
0.193,0.157500961,70.63848242
0.194,0.157982627,70.54354533
0.195,0.158464292,70.44860825
0.196,0.158945958,70.35367116
0.197,0.159427624,70.25873407
0.198,0.15990929,70.16379698
0.199,0.160390956,70.06885989
0.2,0.160872622,69.97392281
0.201,0.161354288,69.87898572
0.202,0.161835954,69.78404863
0.203,0.16231762,69.68911154
0.204,0.162799286,69.59417445
0.205,0.163280952,69.49923737
0.206,0.163762618,69.40430028
0.207,0.164244284,69.30936319
0.208,0.16472595,69.2144261
0.209,0.165174523,69.12177189
0.21,0.165542075,69.0347068
0.211,0.165909628,68.94764171
0.212,0.16627718,68.86057662
0.213,0.166644732,68.77351153
0.214,0.167012285,68.68644644
0.215,0.167379837,68.59938135
0.216,0.16774739,68.51231626
0.217,0.168114942,68.42525117
0.218,0.168482495,68.33818608
0.219,0.168850047,68.25112099
0.22,0.169217599,68.1640559
0.221,0.169585152,68.07699081
0.222,0.169952704,67.98992572
0.223,0.170320257,67.90286063
0.224,0.170687809,67.81579554
0.225,0.171055362,67.72873045
0.226,0.171422914,67.64166536
0.227,0.171790466,67.55460027
0.228,0.172158019,67.46753518
0.229,0.172525571,67.38047009
0.23,0.172893124,67.293405
0.231,0.173260676,67.20633991
0.232,0.173628229,67.11927482
0.233,0.173995781,67.03220973
0.234,0.174363334,66.94514464
0.235,0.174730886,66.85807955
0.236,0.175092247,66.77138539
0.237,0.175371348,66.68961923
0.238,0.17565045,66.60785308
0.239,0.175929551,66.52608692
0.24,0.176208652,66.44432077
0.241,0.176487754,66.36255462
0.242,0.176766855,66.28078846
0.243,0.177045956,66.19902231
0.244,0.177325058,66.11725615
0.245,0.177604159,66.03549
0.246,0.17788326,65.95372385
0.247,0.178162362,65.87195769
0.248,0.178441463,65.79019154
0.249,0.178720564,65.70842539
0.25,0.178999666,65.62665923
0.251,0.179278767,65.54489308
0.252,0.179557869,65.46312692
0.253,0.17983697,65.38136077
0.254,0.180116071,65.29959462
0.255,0.180395173,65.21782846
0.256,0.180674274,65.13606231
0.257,0.180953375,65.05429615
0.258,0.181232477,64.97253
0.259,0.181511578,64.89076385
0.26,0.181790679,64.80899769
0.261,0.182069781,64.72723154
0.262,0.182348882,64.64546538
0.263,0.182627983,64.56369923
0.264,0.182754673,64.4906299
0.265,0.182854466,64.41909531
0.266,0.182954259,64.34756071
0.267,0.183054052,64.27602612
0.268,0.183153846,64.20449152
0.269,0.183253639,64.13295692
0.27,0.183353432,64.06142233
0.271,0.183453225,63.98988773
0.272,0.183553018,63.91835314
0.273,0.183652812,63.84681854
0.274,0.183752605,63.77528395
0.275,0.183852398,63.70374935
0.276,0.183952191,63.63221476
0.277,0.184051984,63.56068016
0.278,0.184151777,63.48914557
0.279,0.184251571,63.41761097
0.28,0.184351364,63.34607638
0.281,0.184451157,63.27454178
0.282,0.18455095,63.20300719
0.283,0.184650743,63.13147259
0.284,0.184750536,63.059938
0.285,0.18485033,62.9884034
0.286,0.184950123,62.91686881
0.287,0.185049916,62.84533421
0.288,0.185149709,62.77379962
0.289,0.185249502,62.70226502
0.29,0.185349296,62.63073043
0.291,0.185414103,62.56004491
0.292,0.185458364,62.48985806
0.293,0.185502625,62.41967121
0.294,0.185546886,62.34948436
0.295,0.185591146,62.2792975
0.296,0.185635407,62.20911065
0.297,0.185679668,62.1389238
0.298,0.185723929,62.06873695
0.299,0.185768189,61.9985501
0.3,0.18581245,61.92836325
0.301,0.185856711,61.85817639
0.302,0.185900972,61.78798954
0.303,0.185945232,61.71780269
0.304,0.185989493,61.64761584
0.305,0.186033754,61.57742899
0.306,0.186078015,61.50724214
0.307,0.186122275,61.43705529
0.308,0.186166536,61.36686843
0.309,0.186210797,61.29668158
0.31,0.186255058,61.22649473
0.311,0.186299318,61.15630788
0.312,0.186343579,61.08612103
0.313,0.18638784,61.01593418
0.314,0.186432101,60.94574733
0.315,0.186476361,60.87556047
0.316,0.186520622,60.80537362
0.317,0.186564883,60.73518677
0.318,0.186593193,60.66657628
0.319,0.186598549,60.60023422
0.32,0.186603906,60.53389216
0.321,0.186609262,60.4675501
0.322,0.186614619,60.40120803
0.323,0.186619975,60.33486597
0.324,0.186625331,60.26852391
0.325,0.186630688,60.20218185
0.326,0.186636044,60.13583978
0.327,0.186641401,60.06949772
0.328,0.186646757,60.00315566
0.329,0.186652114,59.9368136
0.33,0.18665747,59.87047154
0.331,0.186662827,59.80412947
0.332,0.186668183,59.73778741
0.333,0.18667354,59.67144535
0.334,0.186678896,59.60510329
0.335,0.186684252,59.53876122
0.336,0.186689609,59.47241916
0.337,0.186694965,59.4060771
0.338,0.186700322,59.33973504
0.339,0.186705678,59.27339297
0.34,0.186711035,59.20705091
0.341,0.186716391,59.14070885
0.342,0.186721748,59.07436679
0.343,0.186727104,59.00802473
0.344,0.186732461,58.94168266
0.345,0.186731947,58.87593745
0.346,0.18670641,58.81273672
0.347,0.186680872,58.74953598
0.348,0.186655335,58.68633525
0.349,0.186629797,58.62313451
0.35,0.18660426,58.55993378
0.351,0.186578723,58.49673304
0.352,0.186553185,58.43353231
0.353,0.186527648,58.37033157
0.354,0.18650211,58.30713084
0.355,0.186476573,58.2439301
0.356,0.186451035,58.18072937
0.357,0.186425498,58.11752863
0.358,0.18639996,58.0543279
0.359,0.186374423,57.99112716
0.36,0.186348886,57.92792643
0.361,0.186323348,57.86472569
0.362,0.186297811,57.80152496
0.363,0.186272273,57.73832422
0.364,0.186246736,57.67512349
0.365,0.186221198,57.61192275
0.366,0.186195661,57.54872202
0.367,0.186170123,57.48552128
0.368,0.186144586,57.42232055
0.369,0.186119049,57.35911981
0.37,0.186093511,57.29591908
0.371,0.186067974,57.23271834
0.372,0.186042436,57.1695176
0.373,0.18596662,57.11131081
0.374,0.18588925,57.05325847
0.375,0.185811879,56.99520612
0.376,0.185734508,56.93715378
0.377,0.185657137,56.87910143
0.378,0.185579766,56.82104909
0.379,0.185502395,56.76299675
0.38,0.185425025,56.7049444
0.381,0.185347654,56.64689206
0.382,0.185270283,56.58883972
0.383,0.185192912,56.53078737
0.384,0.185115541,56.47273503
0.385,0.18503817,56.41468268
0.386,0.1849608,56.35663034
0.387,0.184883429,56.298578
0.388,0.184806058,56.24052565
0.389,0.184728687,56.18247331
0.39,0.184651316,56.12442096
0.391,0.184573945,56.06636862
0.392,0.184496575,56.00831628
0.393,0.184419204,55.95026393
0.394,0.184341833,55.89221159
0.395,0.184264462,55.83415925
0.396,0.184187091,55.7761069
0.397,0.18410972,55.71805456
0.398,0.18403235,55.66000221
0.399,0.183954979,55.60194987
0.4,0.183856742,55.54561541
0.401,0.18375155,55.48985359
0.402,0.183646358,55.43409176
0.403,0.183541166,55.37832993
0.404,0.183435973,55.32256811
0.405,0.183330781,55.26680628
0.406,0.183225589,55.21104445
0.407,0.183120397,55.15528263
0.408,0.183015205,55.0995208
0.409,0.182910013,55.04375897
0.41,0.182804821,54.98799715
0.411,0.182699629,54.93223532
0.412,0.182594436,54.87647349
0.413,0.182489244,54.82071167
0.414,0.182384052,54.76494984
0.415,0.18227886,54.70918801
0.416,0.182173668,54.65342618
0.417,0.182068476,54.59766436
0.418,0.181963284,54.54190253
0.419,0.181858092,54.4861407
0.42,0.181752899,54.43037888
0.421,0.181647707,54.37461705
0.422,0.181542515,54.31885522
0.423,0.181437323,54.2630934
0.424,0.181332131,54.20733157
0.425,0.181226939,54.15156974
0.426,0.181121747,54.09580792
0.427,0.181011555,54.04111503
0.428,0.18089693,53.98737006
0.429,0.180782305,53.9336251
0.43,0.18066768,53.87988014
0.431,0.180553055,53.82613518
0.432,0.18043843,53.77239022
0.433,0.180323805,53.71864525
0.434,0.18020918,53.66490029
0.435,0.180094555,53.61115533
0.436,0.17997993,53.55741037
0.437,0.179865305,53.5036654
0.438,0.17975068,53.44992044
0.439,0.179636056,53.39617548
0.44,0.179521431,53.34243052
0.441,0.179406806,53.28868556
0.442,0.179292181,53.23494059
0.443,0.179177556,53.18119563
0.444,0.179062931,53.12745067
0.445,0.178948306,53.07370571
0.446,0.178833681,53.01996074
0.447,0.178719056,52.96621578
0.448,0.178604431,52.91247082
0.449,0.178489806,52.85872586
0.45,0.178375181,52.80498089
0.451,0.178260556,52.75123593
0.452,0.178145931,52.69749097
0.453,0.178031306,52.64374601
0.454,0.17791465,52.5906832
0.455,0.177793475,52.53913875
0.456,0.1776723,52.4875943
0.457,0.177551125,52.43604985
0.458,0.17742995,52.3845054
0.459,0.177308775,52.33296095
0.46,0.1771876,52.2814165
0.461,0.177066424,52.22987204
0.462,0.176945249,52.17832759
0.463,0.176824074,52.12678314
0.464,0.176702899,52.07523869
0.465,0.176581724,52.02369424
0.466,0.176460549,51.97214979
0.467,0.176339374,51.92060534
0.468,0.176218198,51.86906088
0.469,0.176097023,51.81751643
0.47,0.175975848,51.76597198
0.471,0.175854673,51.71442753
0.472,0.175733498,51.66288308
0.473,0.175612323,51.61133863
0.474,0.175491148,51.55979418
0.475,0.175369972,51.50824972
0.476,0.175248797,51.45670527
0.477,0.175127622,51.40516082
0.478,0.175006447,51.35361637
0.479,0.174885272,51.30207192
0.48,0.174764097,51.25052747
0.481,0.174642505,51.1991096
0.482,0.174516704,51.14897169
0.483,0.174390903,51.09883378
0.484,0.174265102,51.04869586
0.485,0.1741393,50.99855795
0.486,0.174013499,50.94842004
0.487,0.173887698,50.89828212
0.488,0.173761897,50.84814421
0.489,0.173636095,50.79800629
0.49,0.173510294,50.74786838
0.491,0.173384493,50.69773047
0.492,0.173258692,50.64759255
0.493,0.17313289,50.59745464
0.494,0.173007089,50.54731673
0.495,0.172881288,50.49717881
0.496,0.172755487,50.4470409
0.497,0.172629685,50.39690298
0.498,0.172503884,50.34676507
0.499,0.172378083,50.29662716
0.5,0.172252282,50.24648924
0.501,0.172126481,50.19635133
0.502,0.172000679,50.14621342
0.503,0.171874878,50.0960755
0.504,0.171749077,50.04593759
0.505,0.171623276,49.99579967
0.506,0.171497474,49.94566176
0.507,0.171371673,49.89552385
0.508,0.171245872,49.84538593
0.509,0.171118136,49.79735267
0.51,0.170990111,49.74963389
0.511,0.170862086,49.70191512
0.512,0.170734061,49.65419634
0.513,0.170606037,49.60647756
0.514,0.170478012,49.55875879
0.515,0.170349987,49.51104001
0.516,0.170221962,49.46332124
0.517,0.170093937,49.41560246
0.518,0.169965912,49.36788368
0.519,0.169837887,49.32016491
0.52,0.169709862,49.27244613
0.521,0.169581838,49.22472736
0.522,0.169453813,49.17700858
0.523,0.169325788,49.1292898
0.524,0.169197763,49.08157103
0.525,0.169069738,49.03385225
0.526,0.168941713,48.98613348
0.527,0.168813688,48.9384147
0.528,0.168685663,48.89069592
0.529,0.168557639,48.84297715
0.53,0.168429614,48.79525837
0.531,0.168301589,48.74753959
0.532,0.168173564,48.69982082
0.533,0.168045539,48.65210204
0.534,0.167917514,48.60438327
0.535,0.167789489,48.55666449
0.536,0.167656903,48.51187467
0.537,0.16752186,48.46866198
0.538,0.167386817,48.42544929
0.539,0.167251773,48.3822366
0.54,0.16711673,48.33902391
0.541,0.166981687,48.29581121
0.542,0.166846644,48.25259852
0.543,0.166711601,48.20938583
0.544,0.166576558,48.16617314
0.545,0.166441515,48.12296045
0.546,0.166306472,48.07974776
0.547,0.166171429,48.03653507
0.548,0.166036386,47.99332238
0.549,0.165901343,47.95010969
0.55,0.1657663,47.90689699
0.551,0.165631257,47.8636843
0.552,0.165496213,47.82047161
0.553,0.16536117,47.77725892
0.554,0.165226127,47.73404623
0.555,0.165091084,47.69083354
0.556,0.164956041,47.64762085
0.557,0.164820998,47.60440816
0.558,0.164685955,47.56119547
0.559,0.164550912,47.51798277
0.56,0.164415869,47.47477008
0.561,0.164280826,47.43155739
0.562,0.164145783,47.3883447
0.563,0.164007395,47.34568087
0.564,0.163864572,47.3037446
0.565,0.16372175,47.26180833
0.566,0.163578927,47.21987206
0.567,0.163436105,47.17793579
0.568,0.163293282,47.13599952
0.569,0.16315046,47.09406325
0.57,0.163007637,47.05212699
0.571,0.162864815,47.01019072
0.572,0.162721992,46.96825445
0.573,0.16257917,46.92631818
0.574,0.162436348,46.88438191
0.575,0.162293525,46.84244564
0.576,0.162150703,46.80050937
0.577,0.16200788,46.7585731
0.578,0.161865058,46.71663683
0.579,0.161722235,46.67470056
0.58,0.161579413,46.63276429
0.581,0.16143659,46.59082802
0.582,0.161293768,46.54889175
0.583,0.161150946,46.50695548
0.584,0.161008123,46.46501921
0.585,0.160865301,46.42308295
0.586,0.160722478,46.38114668
0.587,0.160579656,46.33921041
0.588,0.160436833,46.29727414
0.589,0.160294011,46.25533787
0.59,0.160151816,46.21380061
0.591,0.160011982,46.17376442
0.592,0.159872149,46.13372822
0.593,0.159732315,46.09369202
0.594,0.159592482,46.05365582
0.595,0.159452648,46.01361962
0.596,0.159312815,45.97358343
0.597,0.159172981,45.93354723
0.598,0.159033148,45.89351103
0.599,0.158893314,45.85347483
0.6,0.15875348,45.81343863
0.601,0.158613647,45.77340244
0.602,0.158473813,45.73336624
0.603,0.15833398,45.69333004
0.604,0.158194146,45.65329384
0.605,0.158054313,45.61325764
0.606,0.157914479,45.57322144
0.607,0.157774646,45.53318525
0.608,0.157634812,45.49314905
0.609,0.157494978,45.45311285
0.61,0.157355145,45.41307665
0.611,0.157215311,45.37304045
0.612,0.157075478,45.33300426
0.613,0.156935644,45.29296806
0.614,0.156795811,45.25293186
0.615,0.156655977,45.21289566
0.616,0.156516143,45.17285946
0.617,0.15637631,45.13282327
0.618,0.156239754,45.09457209
0.619,0.15610323,45.05633895
0.62,0.155966707,45.01810581
0.621,0.155830184,44.97987266
0.622,0.15569366,44.94163952
0.623,0.155557137,44.90340638
0.624,0.155420614,44.86517323
0.625,0.15528409,44.82694009
0.626,0.155147567,44.78870694
0.627,0.155011044,44.7504738
0.628,0.154874521,44.71224066
0.629,0.154737997,44.67400751
0.63,0.154601474,44.63577437
0.631,0.154464951,44.59754123
0.632,0.154328427,44.55930808
0.633,0.154191904,44.52107494
0.634,0.154055381,44.4828418
0.635,0.153918858,44.44460865
0.636,0.153782334,44.40637551
0.637,0.153645811,44.36814237
0.638,0.153509288,44.32990922
0.639,0.153372764,44.29167608
0.64,0.153236241,44.25344294
0.641,0.153099718,44.21520979
0.642,0.152963195,44.17697665
0.643,0.152826671,44.13874351
0.644,0.152690148,44.10051036
0.645,0.152556342,44.06369782
0.646,0.152423347,44.02730961
0.647,0.152290352,43.9909214
0.648,0.152157357,43.95453318
0.649,0.152024363,43.91814497
0.65,0.151891368,43.88175676
0.651,0.151758373,43.84536855
0.652,0.151625378,43.80898034
0.653,0.151492384,43.77259213
0.654,0.151359389,43.73620392
0.655,0.151226394,43.69981571
0.656,0.151093399,43.6634275
0.657,0.150960404,43.62703929
0.658,0.15082741,43.59065108
0.659,0.150694415,43.55426287
0.66,0.15056142,43.51787466
0.661,0.150428425,43.48148645
0.662,0.150295431,43.44509824
0.663,0.150162436,43.40871002
0.664,0.150029441,43.37232181
0.665,0.149896446,43.3359336
0.666,0.149763452,43.29954539
0.667,0.149630457,43.26315718
0.668,0.149497462,43.22676897
0.669,0.149364467,43.19038076
0.67,0.149231473,43.15399255
0.671,0.149098478,43.11760434
0.672,0.148967439,43.08190668
0.673,0.148837999,43.04677402
0.674,0.14870856,43.01164136
0.675,0.148579121,42.9765087
0.676,0.148449681,42.94137604
0.677,0.148320242,42.90624338
0.678,0.148190803,42.87111072
0.679,0.148061364,42.83597805
0.68,0.147931924,42.80084539
0.681,0.147802485,42.76571273
0.682,0.147673046,42.73058007
0.683,0.147543607,42.69544741
0.684,0.147414167,42.66031475
0.685,0.147284728,42.62518209
0.686,0.147155289,42.59004943
0.687,0.14702585,42.55491677
0.688,0.14689641,42.51978411
0.689,0.146766971,42.48465144
0.69,0.146637532,42.44951878
0.691,0.146508092,42.41438612
0.692,0.146378653,42.37925346
0.693,0.146249214,42.3441208
0.694,0.146119775,42.30898814
0.695,0.145990335,42.27385548
0.696,0.145860896,42.23872282
0.697,0.145731457,42.20359016
0.698,0.145602018,42.1684575
0.699,0.145473744,42.13347018
0.7,0.145347836,42.09877795
0.701,0.145221928,42.06408572
0.702,0.14509602,42.02939349
0.703,0.144970112,41.99470126
0.704,0.144844204,41.96000903
0.705,0.144718296,41.9253168
0.706,0.144592388,41.89062457
0.707,0.14446648,41.85593234
0.708,0.144340572,41.82124011
0.709,0.144214664,41.78654788
0.71,0.144088756,41.75185565
0.711,0.143962848,41.71716342
0.712,0.14383694,41.68247119
0.713,0.143711032,41.64777896
0.714,0.143585124,41.61308674
0.715,0.143459216,41.57839451
0.716,0.143333308,41.54370228
0.717,0.1432074,41.50901005
0.718,0.143081492,41.47431782
0.719,0.142955584,41.43962559
0.72,0.142829676,41.40493336
0.721,0.142703768,41.37024113
0.722,0.14257786,41.3355489
0.723,0.142451952,41.30085667
0.724,0.142326044,41.26616444
0.725,0.142200136,41.23147221
0.726,0.142074626,41.19682467
0.727,0.141952342,41.16253874
0.728,0.141830058,41.12825281
0.729,0.141707774,41.09396687
0.73,0.141585489,41.05968094
0.731,0.141463205,41.025395
0.732,0.141340921,40.99110907
0.733,0.141218637,40.95682314
0.734,0.141096352,40.9225372
0.735,0.140974068,40.88825127
0.736,0.140851784,40.85396534
0.737,0.1407295,40.8196794
0.738,0.140607215,40.78539347
0.739,0.140484931,40.75110754
0.74,0.140362647,40.7168216
0.741,0.140240363,40.68253567
0.742,0.140118078,40.64824973
0.743,0.139995794,40.6139638
0.744,0.13987351,40.57967787
0.745,0.139751226,40.54539193
0.746,0.139628941,40.511106
0.747,0.139506657,40.47682007
0.748,0.139384373,40.44253413
0.749,0.139262089,40.4082482
0.75,0.139139804,40.37396226
0.751,0.13901752,40.33967633
0.752,0.138895236,40.3053904
0.753,0.138772952,40.27110446
0.754,0.138654043,40.2377494
0.755,0.138535551,40.20450939
0.756,0.138417059,40.17126938
0.757,0.138298567,40.13802937
0.758,0.138180075,40.10478936
0.759,0.138061583,40.07154935
0.76,0.137943091,40.03830934
0.761,0.1378246,40.00506933
0.762,0.137706108,39.97182932
0.763,0.137587616,39.93858931
0.764,0.137469124,39.9053493
0.765,0.137350632,39.87210929
0.766,0.13723214,39.83886928
0.767,0.137113648,39.80562927
0.768,0.136995157,39.77238926
0.769,0.136876665,39.73914925
0.77,0.136758173,39.70590924
0.771,0.136639681,39.67266923
0.772,0.136521189,39.63942922
0.773,0.136402697,39.60618921
0.774,0.136284205,39.5729492
0.775,0.136165714,39.53970919
0.776,0.136047222,39.50646918
0.777,0.13592873,39.47322917
0.778,0.135810238,39.43998916
0.779,0.135691746,39.40674915
0.78,0.135573254,39.37350914
0.781,0.135457463,39.34241212
0.782,0.135343003,39.31237059
0.783,0.135228543,39.28232907
0.784,0.135114082,39.25228755
0.785,0.134999622,39.22224602
0.786,0.134885162,39.1922045
0.787,0.134770701,39.16216298
0.788,0.134656241,39.13212145
0.789,0.134541781,39.10207993
0.79,0.13442732,39.07203841
0.791,0.13431286,39.04199689
0.792,0.1341984,39.01195536
0.793,0.134083939,38.98191384
0.794,0.133969479,38.95187232
0.795,0.133855018,38.92183079
0.796,0.133740558,38.89178927
0.797,0.133626098,38.86174775
0.798,0.133511637,38.83170622
0.799,0.133397177,38.8016647
0.8,0.133282717,38.77162318
0.801,0.133168256,38.74158165
0.802,0.133053796,38.71154013
0.803,0.132939336,38.68149861
0.804,0.132824875,38.65145708
0.805,0.132710415,38.62141556
0.806,0.132595954,38.59137404
0.807,0.132481494,38.56133251
0.808,0.132368677,38.5321279
0.809,0.132257867,38.50394617
0.81,0.132147057,38.47576444
0.811,0.132036247,38.44758271
0.812,0.131925437,38.41940097
0.813,0.131814627,38.39121924
0.814,0.131703818,38.36303751
0.815,0.131593008,38.33485578
0.816,0.131482198,38.30667405
0.817,0.131371388,38.27849232
0.818,0.131260578,38.25031059
0.819,0.131149769,38.22212886
0.82,0.131038959,38.19394713
0.821,0.130928149,38.1657654
0.822,0.130817339,38.13758367
0.823,0.130706529,38.10940194
0.824,0.130595719,38.08122021
0.825,0.13048491,38.05303847
0.826,0.1303741,38.02485674
0.827,0.13026329,37.99667501
0.828,0.13015248,37.96849328
0.829,0.13004167,37.94031155
0.83,0.129930861,37.91212982
0.831,0.129820051,37.88394809
0.832,0.129709241,37.85576636
0.833,0.129598431,37.82758463
0.834,0.129487621,37.7994029
0.835,0.12937747,37.77022185
0.836,0.129269521,37.73769527
0.837,0.129161572,37.70516869
0.838,0.129053624,37.67264211
0.839,0.128945675,37.64011553
0.84,0.128837727,37.60758895
0.841,0.128729778,37.57506237
0.842,0.12862183,37.54253579
0.843,0.128513881,37.51000921
0.844,0.128405933,37.47748263
0.845,0.128297984,37.44495605
0.846,0.128190035,37.41242947
0.847,0.128082087,37.37990289
0.848,0.127974138,37.34737631
0.849,0.12786619,37.31484973
0.85,0.127758241,37.28232315
0.851,0.127650293,37.24979656
0.852,0.127542344,37.21726998
0.853,0.127434396,37.1847434
0.854,0.127326447,37.15221682
0.855,0.127218498,37.11969024
0.856,0.12711055,37.08716366
0.857,0.127002601,37.05463708
0.858,0.126894653,37.0221105
0.859,0.126786704,36.98958392
0.86,0.126678756,36.95705734
0.861,0.126570807,36.92453076
0.862,0.126462898,36.89205629
0.863,0.126358924,36.86474059
0.864,0.126254949,36.8374249
0.865,0.126150975,36.8101092
0.866,0.126047,36.7827935
0.867,0.125943025,36.75547781
0.868,0.125839051,36.72816211
0.869,0.125735076,36.70084641
0.87,0.125631102,36.67353072
0.871,0.125527127,36.64621502
0.872,0.125423153,36.61889932
0.873,0.125319178,36.59158363
0.874,0.125215204,36.56426793
0.875,0.125111229,36.53695223
0.876,0.125007254,36.50963654
0.877,0.12490328,36.48232084
0.878,0.124799305,36.45500514
0.879,0.124695331,36.42768945
0.88,0.124591356,36.40037375
0.881,0.124487382,36.37305805
0.882,0.124383407,36.34574236
0.883,0.124279433,36.31842666
0.884,0.124175458,36.29111096
0.885,0.124071483,36.26379527
0.886,0.123967509,36.23647957
0.887,0.123863534,36.20916387
0.888,0.12375956,36.18184818
0.889,0.123655585,36.15453248
0.89,0.123554048,36.12618984
0.891,0.123453158,36.09757422
0.892,0.123352269,36.0689586
0.893,0.123251379,36.04034297
0.894,0.12315049,36.01172735
0.895,0.1230496,35.98311173
0.896,0.122948711,35.9544961
0.897,0.122847821,35.92588048
0.898,0.122746931,35.89726486
0.899,0.122646042,35.86864924
0.9,0.122545152,35.84003361
0.901,0.122444263,35.81141799
0.902,0.122343373,35.78280237
0.903,0.122242484,35.75418674
0.904,0.122141594,35.72557112
0.905,0.122040705,35.6969555
0.906,0.121939815,35.66833988
0.907,0.121838926,35.63972425
0.908,0.121738036,35.61110863
0.909,0.121637146,35.58249301
0.91,0.121536257,35.55387738
0.911,0.121435367,35.52526176
0.912,0.121334478,35.49664614
0.913,0.121233588,35.46803052
0.914,0.121132699,35.43941489
0.915,0.121031809,35.41079927
0.916,0.12093092,35.38218365
0.917,0.120831912,35.3545895
0.918,0.120734323,35.32776595
0.919,0.120636734,35.30094239
0.92,0.120539146,35.27411884
0.921,0.120441557,35.24729529
0.922,0.120343968,35.22047173
0.923,0.12024638,35.19364818
0.924,0.120148791,35.16682462
0.925,0.120051203,35.14000107
0.926,0.119953614,35.11317752
0.927,0.119856025,35.08635396
0.928,0.119758437,35.05953041
